==PROF== Connected to process 9956 (/home/pa2746/ESP_workload/dummy_pipeline)
==PROF== Disconnected from process 9956
Dummy pipeline complete
N=16777216, iters=3, mode=1 (transfer_per_iter)
Elapsed: 317.943 ms
Expected host-device transfer bytes: 603979776
Checksum(0:1024): 1347.394669
==WARNING== Found outstanding GPU clock reset, trying to revert...Success.
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","9956","dummy_pipeline","127.0.0.1","vecAdd(const float *, const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","201,080,832"
"0","9956","dummy_pipeline","127.0.0.1","vecAdd(const float *, const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","201,326,592"
"0","9956","dummy_pipeline","127.0.0.1","vecAdd(const float *, const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","lts__t_bytes.sum","byte","201,498,080"
"1","9956","dummy_pipeline","127.0.0.1","scaleKernel(const float *, float *, float, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","110,860,544"
"1","9956","dummy_pipeline","127.0.0.1","scaleKernel(const float *, float *, float, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","134,217,728"
"1","9956","dummy_pipeline","127.0.0.1","scaleKernel(const float *, float *, float, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","lts__t_bytes.sum","byte","134,403,936"
"2","9956","dummy_pipeline","127.0.0.1","copyKernel(const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","110,021,888"
"2","9956","dummy_pipeline","127.0.0.1","copyKernel(const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","134,217,728"
"2","9956","dummy_pipeline","127.0.0.1","copyKernel(const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","lts__t_bytes.sum","byte","134,406,976"
"3","9956","dummy_pipeline","127.0.0.1","vecAdd(const float *, const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","189,423,360"
"3","9956","dummy_pipeline","127.0.0.1","vecAdd(const float *, const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","201,326,592"
"3","9956","dummy_pipeline","127.0.0.1","vecAdd(const float *, const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","lts__t_bytes.sum","byte","201,454,432"
"4","9956","dummy_pipeline","127.0.0.1","scaleKernel(const float *, float *, float, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","114,508,032"
"4","9956","dummy_pipeline","127.0.0.1","scaleKernel(const float *, float *, float, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","134,217,728"
"4","9956","dummy_pipeline","127.0.0.1","scaleKernel(const float *, float *, float, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","lts__t_bytes.sum","byte","139,962,752"
