==PROF== Connected to process 717821 (/home/pa2746/ESP_workload/fft_batched)
==PROF== Disconnected from process 717821
Batched FFT complete
fft_size=4096, batch=256, iters=3, mode=1 (transfer_per_iter)
Elapsed: 169.643 ms
Expected host-device transfer bytes: 50331648
Magnitude sum(0:1024): 2048.006291
==WARNING== Found outstanding GPU clock reset, trying to revert...Success.
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","8,410,112"
"0","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","17,498,112"
"0","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","lts__t_bytes.sum","byte","17,258,880"
"0","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_active.sum","cycle","3,042,516"
"0","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","3,541,460"
"1","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","8,391,296"
"1","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","17,498,112"
"1","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","lts__t_bytes.sum","byte","17,108,192"
"1","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_active.sum","cycle","3,020,290"
"1","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","3,524,008"
"2","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","8,391,424"
"2","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","17,498,112"
"2","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","lts__t_bytes.sum","byte","17,126,624"
"2","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_active.sum","cycle","2,972,797"
"2","717821","fft_batched","127.0.0.1","void vector_fft<(unsigned int)4096, (unsigned int)16, (unsigned int)1, (unsigned int)5, (padding_t)6, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)","1","13","(256, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","3,496,712"
