Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
838637067,838683353,46286,0,46286,H2D_once,40898,40898,0,0,1,,:1,H2D_once
838693843,849749796,11055953,0,11055953,vecAdd,40898,40898,0,0,2,,:2,vecAdd
849752177,849773847,21670,0,21670,scale,40898,40898,0,0,3,,:3,scale
849774224,849792958,18734,0,18734,memcpy_kernel,40898,40898,0,0,4,,:4,memcpy_kernel
849793295,849799737,6442,0,6442,vecAdd,40898,40898,0,0,5,,:5,vecAdd
849800031,849804794,4763,0,4763,scale,40898,40898,0,0,6,,:6,scale
849805048,849809519,4471,0,4471,memcpy_kernel,40898,40898,0,0,7,,:7,memcpy_kernel
849809825,849814342,4517,0,4517,vecAdd,40898,40898,0,0,8,,:8,vecAdd
849814579,849819194,4615,0,4615,scale,40898,40898,0,0,9,,:9,scale
849819649,849824276,4627,0,4627,memcpy_kernel,40898,40898,0,0,10,,:10,memcpy_kernel
849824531,849828654,4123,0,4123,vecAdd,40898,40898,0,0,11,,:11,vecAdd
849828811,849832547,3736,0,3736,scale,40898,40898,0,0,12,,:12,scale
849832692,849836542,3850,0,3850,memcpy_kernel,40898,40898,0,0,13,,:13,memcpy_kernel
849836719,849841097,4378,0,4378,vecAdd,40898,40898,0,0,14,,:14,vecAdd
849841267,849845258,3991,0,3991,scale,40898,40898,0,0,15,,:15,scale
849845422,849848981,3559,0,3559,memcpy_kernel,40898,40898,0,0,16,,:16,memcpy_kernel
849849164,849852675,3511,0,3511,vecAdd,40898,40898,0,0,17,,:17,vecAdd
849853050,849857227,4177,0,4177,scale,40898,40898,0,0,18,,:18,scale
849857456,849861253,3797,0,3797,memcpy_kernel,40898,40898,0,0,19,,:19,memcpy_kernel
849861436,849865224,3788,0,3788,vecAdd,40898,40898,0,0,20,,:20,vecAdd
849865371,849869282,3911,0,3911,scale,40898,40898,0,0,21,,:21,scale
849869442,849874089,4647,0,4647,memcpy_kernel,40898,40898,0,0,22,,:22,memcpy_kernel
849874279,849878282,4003,0,4003,vecAdd,40898,40898,0,0,23,,:23,vecAdd
849878437,849882178,3741,0,3741,scale,40898,40898,0,0,24,,:24,scale
849882323,849886236,3913,0,3913,memcpy_kernel,40898,40898,0,0,25,,:25,memcpy_kernel
849886509,849890793,4284,0,4284,vecAdd,40898,40898,0,0,26,,:26,vecAdd
849891036,849894787,3751,0,3751,scale,40898,40898,0,0,27,,:27,scale
849894947,849898757,3810,0,3810,memcpy_kernel,40898,40898,0,0,28,,:28,memcpy_kernel
849898919,849902687,3768,0,3768,vecAdd,40898,40898,0,0,29,,:29,vecAdd
849902846,849906627,3781,0,3781,scale,40898,40898,0,0,30,,:30,scale
849906774,849910605,3831,0,3831,memcpy_kernel,40898,40898,0,0,31,,:31,memcpy_kernel
849910778,849914145,3367,0,3367,vecAdd,40898,40898,0,0,32,,:32,vecAdd
849914291,849917904,3613,0,3613,scale,40898,40898,0,0,33,,:33,scale
849918146,849921734,3588,0,3588,memcpy_kernel,40898,40898,0,0,34,,:34,memcpy_kernel
849921898,849926157,4259,0,4259,vecAdd,40898,40898,0,0,35,,:35,vecAdd
849926316,849930360,4044,0,4044,scale,40898,40898,0,0,36,,:36,scale
849930502,849934427,3925,0,3925,memcpy_kernel,40898,40898,0,0,37,,:37,memcpy_kernel
849934606,849938786,4180,0,4180,vecAdd,40898,40898,0,0,38,,:38,vecAdd
849938931,849943092,4161,0,4161,scale,40898,40898,0,0,39,,:39,scale
849943255,849947047,3792,0,3792,memcpy_kernel,40898,40898,0,0,40,,:40,memcpy_kernel
849947423,849951115,3692,0,3692,vecAdd,40898,40898,0,0,41,,:41,vecAdd
849951273,849955021,3748,0,3748,scale,40898,40898,0,0,42,,:42,scale
849955165,849958791,3626,0,3626,memcpy_kernel,40898,40898,0,0,43,,:43,memcpy_kernel
849958964,849962906,3942,0,3942,vecAdd,40898,40898,0,0,44,,:44,vecAdd
849963051,849966976,3925,0,3925,scale,40898,40898,0,0,45,,:45,scale
849967135,849971039,3904,0,3904,memcpy_kernel,40898,40898,0,0,46,,:46,memcpy_kernel
849971209,849974924,3715,0,3715,vecAdd,40898,40898,0,0,47,,:47,vecAdd
849975087,849978696,3609,0,3609,scale,40898,40898,0,0,48,,:48,scale
849979040,849982636,3596,0,3596,memcpy_kernel,40898,40898,0,0,49,,:49,memcpy_kernel
849982899,849986620,3721,0,3721,vecAdd,40898,40898,0,0,50,,:50,vecAdd
849986767,849990219,3452,0,3452,scale,40898,40898,0,0,51,,:51,scale
849990377,849998436,8059,0,8059,memcpy_kernel,40898,40898,0,0,52,,:52,memcpy_kernel
849998616,850002796,4180,0,4180,vecAdd,40898,40898,0,0,53,,:53,vecAdd
850002950,850007219,4269,0,4269,scale,40898,40898,0,0,54,,:54,scale
850007381,850011159,3778,0,3778,memcpy_kernel,40898,40898,0,0,55,,:55,memcpy_kernel
850011358,850015888,4530,0,4530,vecAdd,40898,40898,0,0,56,,:56,vecAdd
850016034,850019742,3708,0,3708,scale,40898,40898,0,0,57,,:57,scale
850019914,850023637,3723,0,3723,memcpy_kernel,40898,40898,0,0,58,,:58,memcpy_kernel
850023802,850027559,3757,0,3757,vecAdd,40898,40898,0,0,59,,:59,vecAdd
850027732,850031330,3598,0,3598,scale,40898,40898,0,0,60,,:60,scale
850031482,850035590,4108,0,4108,memcpy_kernel,40898,40898,0,0,61,,:61,memcpy_kernel
850035790,850039768,3978,0,3978,vecAdd,40898,40898,0,0,62,,:62,vecAdd
850039916,850043781,3865,0,3865,scale,40898,40898,0,0,63,,:63,scale
850043957,850047674,3717,0,3717,memcpy_kernel,40898,40898,0,0,64,,:64,memcpy_kernel
850047930,850051878,3948,0,3948,vecAdd,40898,40898,0,0,65,,:65,vecAdd
850052053,850055616,3563,0,3563,scale,40898,40898,0,0,66,,:66,scale
850055757,850059291,3534,0,3534,memcpy_kernel,40898,40898,0,0,67,,:67,memcpy_kernel
850059488,850063229,3741,0,3741,vecAdd,40898,40898,0,0,68,,:68,vecAdd
850063413,850067894,4481,0,4481,scale,40898,40898,0,0,69,,:69,scale
850068066,850072077,4011,0,4011,memcpy_kernel,40898,40898,0,0,70,,:70,memcpy_kernel
850072246,850076391,4145,0,4145,vecAdd,40898,40898,0,0,71,,:71,vecAdd
850076867,850080631,3764,0,3764,scale,40898,40898,0,0,72,,:72,scale
850080774,850084530,3756,0,3756,memcpy_kernel,40898,40898,0,0,73,,:73,memcpy_kernel
850084723,850088786,4063,0,4063,vecAdd,40898,40898,0,0,74,,:74,vecAdd
850088935,850092810,3875,0,3875,scale,40898,40898,0,0,75,,:75,scale
850092984,850096744,3760,0,3760,memcpy_kernel,40898,40898,0,0,76,,:76,memcpy_kernel
850096912,850100606,3694,0,3694,vecAdd,40898,40898,0,0,77,,:77,vecAdd
850100785,850104925,4140,0,4140,scale,40898,40898,0,0,78,,:78,scale
850105071,850108547,3476,0,3476,memcpy_kernel,40898,40898,0,0,79,,:79,memcpy_kernel
850108976,850112433,3457,0,3457,vecAdd,40898,40898,0,0,80,,:80,vecAdd
850112582,850133247,20665,0,20665,scale,40898,40898,0,0,81,,:81,scale
850133437,850138071,4634,0,4634,memcpy_kernel,40898,40898,0,0,82,,:82,memcpy_kernel
850138341,850142345,4004,0,4004,vecAdd,40898,40898,0,0,83,,:83,vecAdd
850142608,850146839,4231,0,4231,scale,40898,40898,0,0,84,,:84,scale
850147115,850151229,4114,0,4114,memcpy_kernel,40898,40898,0,0,85,,:85,memcpy_kernel
850151492,850155852,4360,0,4360,vecAdd,40898,40898,0,0,86,,:86,vecAdd
850156117,850160565,4448,0,4448,scale,40898,40898,0,0,87,,:87,scale
850160808,850164762,3954,0,3954,memcpy_kernel,40898,40898,0,0,88,,:88,memcpy_kernel
850165043,850168839,3796,0,3796,vecAdd,40898,40898,0,0,89,,:89,vecAdd
850168989,850172756,3767,0,3767,scale,40898,40898,0,0,90,,:90,scale
850172929,850177106,4177,0,4177,memcpy_kernel,40898,40898,0,0,91,,:91,memcpy_kernel
850177285,850181256,3971,0,3971,vecAdd,40898,40898,0,0,92,,:92,vecAdd
850181429,850185682,4253,0,4253,scale,40898,40898,0,0,93,,:93,scale
850185827,850189895,4068,0,4068,memcpy_kernel,40898,40898,0,0,94,,:94,memcpy_kernel
850190092,850194944,4852,0,4852,vecAdd,40898,40898,0,0,95,,:95,vecAdd
850195192,850198651,3459,0,3459,scale,40898,40898,0,0,96,,:96,scale
850198896,850202512,3616,0,3616,memcpy_kernel,40898,40898,0,0,97,,:97,memcpy_kernel
850202679,850206323,3644,0,3644,vecAdd,40898,40898,0,0,98,,:98,vecAdd
850206497,850210468,3971,0,3971,scale,40898,40898,0,0,99,,:99,scale
850210621,850214998,4377,0,4377,memcpy_kernel,40898,40898,0,0,100,,:100,memcpy_kernel
850215201,850219248,4047,0,4047,vecAdd,40898,40898,0,0,101,,:101,vecAdd
850219394,850223351,3957,0,3957,scale,40898,40898,0,0,102,,:102,scale
850223657,850227472,3815,0,3815,memcpy_kernel,40898,40898,0,0,103,,:103,memcpy_kernel
850227722,850232008,4286,0,4286,vecAdd,40898,40898,0,0,104,,:104,vecAdd
850232184,850236102,3918,0,3918,scale,40898,40898,0,0,105,,:105,scale
850236246,850240289,4043,0,4043,memcpy_kernel,40898,40898,0,0,106,,:106,memcpy_kernel
850240483,850244251,3768,0,3768,vecAdd,40898,40898,0,0,107,,:107,vecAdd
850244397,850248709,4312,0,4312,scale,40898,40898,0,0,108,,:108,scale
850248879,850253017,4138,0,4138,memcpy_kernel,40898,40898,0,0,109,,:109,memcpy_kernel
850253185,850257244,4059,0,4059,vecAdd,40898,40898,0,0,110,,:110,vecAdd
850257564,850261737,4173,0,4173,scale,40898,40898,0,0,111,,:111,scale
850261974,850266162,4188,0,4188,memcpy_kernel,40898,40898,0,0,112,,:112,memcpy_kernel
850266354,850270076,3722,0,3722,vecAdd,40898,40898,0,0,113,,:113,vecAdd
850270223,850273724,3501,0,3501,scale,40898,40898,0,0,114,,:114,scale
850273896,850277507,3611,0,3611,memcpy_kernel,40898,40898,0,0,115,,:115,memcpy_kernel
850277679,850284577,6898,0,6898,vecAdd,40898,40898,0,0,116,,:116,vecAdd
850284771,850288967,4196,0,4196,scale,40898,40898,0,0,117,,:117,scale
850289146,850293385,4239,0,4239,memcpy_kernel,40898,40898,0,0,118,,:118,memcpy_kernel
850293742,850297957,4215,0,4215,vecAdd,40898,40898,0,0,119,,:119,vecAdd
850298225,850302144,3919,0,3919,scale,40898,40898,0,0,120,,:120,scale
850302287,850306466,4179,0,4179,memcpy_kernel,40898,40898,0,0,121,,:121,memcpy_kernel
850306666,850310419,3753,0,3753,vecAdd,40898,40898,0,0,122,,:122,vecAdd
850310577,850314434,3857,0,3857,scale,40898,40898,0,0,123,,:123,scale
850314611,850318431,3820,0,3820,memcpy_kernel,40898,40898,0,0,124,,:124,memcpy_kernel
850318597,850322894,4297,0,4297,vecAdd,40898,40898,0,0,125,,:125,vecAdd
850323068,850327015,3947,0,3947,scale,40898,40898,0,0,126,,:126,scale
850327160,850330644,3484,0,3484,memcpy_kernel,40898,40898,0,0,127,,:127,memcpy_kernel
