Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
706485975,706508981,23006,0,23006,H2D_per_iter,41104,41104,0,0,1,,:1,H2D_per_iter
706509466,706560751,51285,0,51285,cufftExecC2C_forward,41104,41104,0,0,2,,:2,cufftExecC2C_forward
706561360,706572696,11336,0,11336,D2H_per_iter,41104,41104,0,0,3,,:3,D2H_per_iter
706573118,706579826,6708,0,6708,H2D_per_iter,41104,41104,0,0,4,,:4,H2D_per_iter
706580249,706591111,10862,0,10862,cufftExecC2C_forward,41104,41104,0,0,5,,:5,cufftExecC2C_forward
706591489,706597165,5676,0,5676,D2H_per_iter,41104,41104,0,0,6,,:6,D2H_per_iter
706597653,706603044,5391,0,5391,H2D_per_iter,41104,41104,0,0,7,,:7,H2D_per_iter
706603489,706614735,11246,0,11246,cufftExecC2C_forward,41104,41104,0,0,8,,:8,cufftExecC2C_forward
706614972,706618997,4025,0,4025,D2H_per_iter,41104,41104,0,0,9,,:9,D2H_per_iter
706619257,706622543,3286,0,3286,H2D_per_iter,41104,41104,0,0,10,,:10,H2D_per_iter
706622811,706628498,5687,0,5687,cufftExecC2C_forward,41104,41104,0,0,11,,:11,cufftExecC2C_forward
706628726,706632238,3512,0,3512,D2H_per_iter,41104,41104,0,0,12,,:12,D2H_per_iter
706632498,706635560,3062,0,3062,H2D_per_iter,41104,41104,0,0,13,,:13,H2D_per_iter
706635801,706640691,4890,0,4890,cufftExecC2C_forward,41104,41104,0,0,14,,:14,cufftExecC2C_forward
706641008,706644663,3655,0,3655,D2H_per_iter,41104,41104,0,0,15,,:15,D2H_per_iter
706656138,706664296,8158,0,8158,H2D_per_iter,41104,41104,0,0,16,,:16,H2D_per_iter
706664748,706679359,14611,0,14611,cufftExecC2C_forward,41104,41104,0,0,17,,:17,cufftExecC2C_forward
706679751,706685421,5670,0,5670,D2H_per_iter,41104,41104,0,0,18,,:18,D2H_per_iter
706685842,706691156,5314,0,5314,H2D_per_iter,41104,41104,0,0,19,,:19,H2D_per_iter
706691574,706699257,7683,0,7683,cufftExecC2C_forward,41104,41104,0,0,20,,:20,cufftExecC2C_forward
706699667,706704659,4992,0,4992,D2H_per_iter,41104,41104,0,0,21,,:21,D2H_per_iter
706705051,706713128,8077,0,8077,H2D_per_iter,41104,41104,0,0,22,,:22,H2D_per_iter
