==PROF== Connected to process 717768 (/home/pa2746/ESP_workload/dummy_pipeline)
==PROF== Disconnected from process 717768
Dummy pipeline complete
N=16777216, iters=3, mode=1 (transfer_per_iter)
Elapsed: 281.056 ms
Expected host-device transfer bytes: 603979776
Checksum(0:1024): 1347.394669
==WARNING== Found outstanding GPU clock reset, trying to revert...Success.
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","717768","dummy_pipeline","127.0.0.1","vecAdd(const float *, const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","176,339,584"
"0","717768","dummy_pipeline","127.0.0.1","vecAdd(const float *, const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","201,326,592"
"0","717768","dummy_pipeline","127.0.0.1","vecAdd(const float *, const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","lts__t_bytes.sum","byte","201,501,696"
"0","717768","dummy_pipeline","127.0.0.1","vecAdd(const float *, const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_active.sum","cycle","47,843,275"
"0","717768","dummy_pipeline","127.0.0.1","vecAdd(const float *, const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","48,271,464"
"1","717768","dummy_pipeline","127.0.0.1","scaleKernel(const float *, float *, float, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","96,587,648"
"1","717768","dummy_pipeline","127.0.0.1","scaleKernel(const float *, float *, float, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","134,217,728"
"1","717768","dummy_pipeline","127.0.0.1","scaleKernel(const float *, float *, float, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","lts__t_bytes.sum","byte","134,385,920"
"1","717768","dummy_pipeline","127.0.0.1","scaleKernel(const float *, float *, float, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_active.sum","cycle","26,530,230"
"1","717768","dummy_pipeline","127.0.0.1","scaleKernel(const float *, float *, float, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","26,953,748"
"2","717768","dummy_pipeline","127.0.0.1","copyKernel(const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","96,451,840"
"2","717768","dummy_pipeline","127.0.0.1","copyKernel(const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","134,217,728"
"2","717768","dummy_pipeline","127.0.0.1","copyKernel(const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","lts__t_bytes.sum","byte","134,386,368"
"2","717768","dummy_pipeline","127.0.0.1","copyKernel(const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_active.sum","cycle","26,359,480"
"2","717768","dummy_pipeline","127.0.0.1","copyKernel(const float *, float *, int)","1","13","(256, 1, 1)","(65536, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","26,789,512"
