Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
848638557,848680609,42052,0,42052,H2D_per_iter,40504,40504,0,0,1,,:1,H2D_per_iter
848681512,865585015,16903503,0,16903503,vecAdd,40504,40504,0,0,2,,:2,vecAdd
865586201,865609877,23676,0,23676,scale,40504,40504,0,0,3,,:3,scale
865610252,865626432,16180,0,16180,memcpy_kernel,40504,40504,0,0,4,,:4,memcpy_kernel
865626805,865641771,14966,0,14966,D2H_per_iter,40504,40504,0,0,5,,:5,D2H_per_iter
865642121,865653065,10944,0,10944,H2D_per_iter,40504,40504,0,0,6,,:6,H2D_per_iter
865653368,865660029,6661,0,6661,vecAdd,40504,40504,0,0,7,,:7,vecAdd
865660308,865665327,5019,0,5019,scale,40504,40504,0,0,8,,:8,scale
865665893,865670905,5012,0,5012,memcpy_kernel,40504,40504,0,0,9,,:9,memcpy_kernel
865671184,865675561,4377,0,4377,D2H_per_iter,40504,40504,0,0,10,,:10,D2H_per_iter
865675899,865682757,6858,0,6858,H2D_per_iter,40504,40504,0,0,11,,:11,H2D_per_iter
865683053,865688423,5370,0,5370,vecAdd,40504,40504,0,0,12,,:12,vecAdd
865688703,865693695,4992,0,4992,scale,40504,40504,0,0,13,,:13,scale
865693966,865698914,4948,0,4948,memcpy_kernel,40504,40504,0,0,14,,:14,memcpy_kernel
865699160,865704516,5356,0,5356,D2H_per_iter,40504,40504,0,0,15,,:15,D2H_per_iter
865705003,865711351,6348,0,6348,H2D_per_iter,40504,40504,0,0,16,,:16,H2D_per_iter
865711553,865716455,4902,0,4902,vecAdd,40504,40504,0,0,17,,:17,vecAdd
865716616,865720505,3889,0,3889,scale,40504,40504,0,0,18,,:18,scale
865720777,865724758,3981,0,3981,memcpy_kernel,40504,40504,0,0,19,,:19,memcpy_kernel
865725145,865728566,3421,0,3421,D2H_per_iter,40504,40504,0,0,20,,:20,D2H_per_iter
865728733,865734718,5985,0,5985,H2D_per_iter,40504,40504,0,0,21,,:21,H2D_per_iter
865734915,865739809,4894,0,4894,vecAdd,40504,40504,0,0,22,,:22,vecAdd
865739969,865744190,4221,0,4221,scale,40504,40504,0,0,23,,:23,scale
865744397,865748515,4118,0,4118,memcpy_kernel,40504,40504,0,0,24,,:24,memcpy_kernel
865748681,865752053,3372,0,3372,D2H_per_iter,40504,40504,0,0,25,,:25,D2H_per_iter
865752226,865758047,5821,0,5821,H2D_per_iter,40504,40504,0,0,26,,:26,H2D_per_iter
865758246,865762971,4725,0,4725,vecAdd,40504,40504,0,0,27,,:27,vecAdd
865763384,865767949,4565,0,4565,scale,40504,40504,0,0,28,,:28,scale
865768205,865772149,3944,0,3944,memcpy_kernel,40504,40504,0,0,29,,:29,memcpy_kernel
865772310,865775680,3370,0,3370,D2H_per_iter,40504,40504,0,0,30,,:30,D2H_per_iter
865775883,865781691,5808,0,5808,H2D_per_iter,40504,40504,0,0,31,,:31,H2D_per_iter
865781892,865786258,4366,0,4366,vecAdd,40504,40504,0,0,32,,:32,vecAdd
865786429,865790513,4084,0,4084,scale,40504,40504,0,0,33,,:33,scale
865790686,865794935,4249,0,4249,memcpy_kernel,40504,40504,0,0,34,,:34,memcpy_kernel
865795097,865798745,3648,0,3648,D2H_per_iter,40504,40504,0,0,35,,:35,D2H_per_iter
865798921,865804671,5750,0,5750,H2D_per_iter,40504,40504,0,0,36,,:36,H2D_per_iter
865804871,865809329,4458,0,4458,vecAdd,40504,40504,0,0,37,,:37,vecAdd
865809493,865813498,4005,0,4005,scale,40504,40504,0,0,38,,:38,scale
865813669,865817502,3833,0,3833,memcpy_kernel,40504,40504,0,0,39,,:39,memcpy_kernel
865817660,865821021,3361,0,3361,D2H_per_iter,40504,40504,0,0,40,,:40,D2H_per_iter
865821218,865827021,5803,0,5803,H2D_per_iter,40504,40504,0,0,41,,:41,H2D_per_iter
865827225,865831705,4480,0,4480,vecAdd,40504,40504,0,0,42,,:42,vecAdd
865831871,865835789,3918,0,3918,scale,40504,40504,0,0,43,,:43,scale
865836083,865839990,3907,0,3907,memcpy_kernel,40504,40504,0,0,44,,:44,memcpy_kernel
865840155,865843471,3316,0,3316,D2H_per_iter,40504,40504,0,0,45,,:45,D2H_per_iter
865843644,865849401,5757,0,5757,H2D_per_iter,40504,40504,0,0,46,,:46,H2D_per_iter
865849599,865854151,4552,0,4552,vecAdd,40504,40504,0,0,47,,:47,vecAdd
865854346,865858608,4262,0,4262,scale,40504,40504,0,0,48,,:48,scale
865858773,865863411,4638,0,4638,memcpy_kernel,40504,40504,0,0,49,,:49,memcpy_kernel
865863571,865866973,3402,0,3402,D2H_per_iter,40504,40504,0,0,50,,:50,D2H_per_iter
865867617,865873269,5652,0,5652,H2D_per_iter,40504,40504,0,0,51,,:51,H2D_per_iter
865873480,865878067,4587,0,4587,vecAdd,40504,40504,0,0,52,,:52,vecAdd
865878233,865882343,4110,0,4110,scale,40504,40504,0,0,53,,:53,scale
865882501,865886417,3916,0,3916,memcpy_kernel,40504,40504,0,0,54,,:54,memcpy_kernel
865886577,865889909,3332,0,3332,D2H_per_iter,40504,40504,0,0,55,,:55,D2H_per_iter
865890083,865895689,5606,0,5606,H2D_per_iter,40504,40504,0,0,56,,:56,H2D_per_iter
865895907,865900824,4917,0,4917,vecAdd,40504,40504,0,0,57,,:57,vecAdd
865900979,865905197,4218,0,4218,scale,40504,40504,0,0,58,,:58,scale
865905503,865909375,3872,0,3872,memcpy_kernel,40504,40504,0,0,59,,:59,memcpy_kernel
865909627,865912953,3326,0,3326,D2H_per_iter,40504,40504,0,0,60,,:60,D2H_per_iter
865913123,865918731,5608,0,5608,H2D_per_iter,40504,40504,0,0,61,,:61,H2D_per_iter
865918927,865923240,4313,0,4313,vecAdd,40504,40504,0,0,62,,:62,vecAdd
865923408,865928103,4695,0,4695,scale,40504,40504,0,0,63,,:63,scale
865928279,865932415,4136,0,4136,memcpy_kernel,40504,40504,0,0,64,,:64,memcpy_kernel
865932573,865935888,3315,0,3315,D2H_per_iter,40504,40504,0,0,65,,:65,D2H_per_iter
865936058,865941933,5875,0,5875,H2D_per_iter,40504,40504,0,0,66,,:66,H2D_per_iter
865942129,865946485,4356,0,4356,vecAdd,40504,40504,0,0,67,,:67,vecAdd
865946641,865950281,3640,0,3640,scale,40504,40504,0,0,68,,:68,scale
865950441,865954161,3720,0,3720,memcpy_kernel,40504,40504,0,0,69,,:69,memcpy_kernel
865954323,865957625,3302,0,3302,D2H_per_iter,40504,40504,0,0,70,,:70,D2H_per_iter
865957796,865963398,5602,0,5602,H2D_per_iter,40504,40504,0,0,71,,:71,H2D_per_iter
865963596,865968491,4895,0,4895,vecAdd,40504,40504,0,0,72,,:72,vecAdd
865968679,865972395,3716,0,3716,scale,40504,40504,0,0,73,,:73,scale
865972565,865976884,4319,0,4319,memcpy_kernel,40504,40504,0,0,74,,:74,memcpy_kernel
865977153,865980475,3322,0,3322,D2H_per_iter,40504,40504,0,0,75,,:75,D2H_per_iter
865980642,865986246,5604,0,5604,H2D_per_iter,40504,40504,0,0,76,,:76,H2D_per_iter
865986443,865990948,4505,0,4505,vecAdd,40504,40504,0,0,77,,:77,vecAdd
865991107,865995683,4576,0,4576,scale,40504,40504,0,0,78,,:78,scale
865995854,865999791,3937,0,3937,memcpy_kernel,40504,40504,0,0,79,,:79,memcpy_kernel
865999951,866003233,3282,0,3282,D2H_per_iter,40504,40504,0,0,80,,:80,D2H_per_iter
866003407,866009053,5646,0,5646,H2D_per_iter,40504,40504,0,0,81,,:81,H2D_per_iter
866009487,866014026,4539,0,4539,vecAdd,40504,40504,0,0,82,,:82,vecAdd
866014184,866018090,3906,0,3906,scale,40504,40504,0,0,83,,:83,scale
866018254,866022722,4468,0,4468,memcpy_kernel,40504,40504,0,0,84,,:84,memcpy_kernel
866022880,866026198,3318,0,3318,D2H_per_iter,40504,40504,0,0,85,,:85,D2H_per_iter
866026368,866032344,5976,0,5976,H2D_per_iter,40504,40504,0,0,86,,:86,H2D_per_iter
866032543,866036961,4418,0,4418,vecAdd,40504,40504,0,0,87,,:87,vecAdd
866037152,866040953,3801,0,3801,scale,40504,40504,0,0,88,,:88,scale
866041121,866045148,4027,0,4027,memcpy_kernel,40504,40504,0,0,89,,:89,memcpy_kernel
866045453,866048925,3472,0,3472,D2H_per_iter,40504,40504,0,0,90,,:90,D2H_per_iter
866049094,866054727,5633,0,5633,H2D_per_iter,40504,40504,0,0,91,,:91,H2D_per_iter
866054925,866059795,4870,0,4870,vecAdd,40504,40504,0,0,92,,:92,vecAdd
866059951,866064034,4083,0,4083,scale,40504,40504,0,0,93,,:93,scale
