Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
550434715,550458654,23939,0,23939,H2D_once,41234,41234,0,0,1,,:1,H2D_once
550469206,550499573,30367,0,30367,cufftExecC2C_forward,41234,41234,0,0,2,,:2,cufftExecC2C_forward
550500150,550507024,6874,0,6874,cufftExecC2C_forward,41234,41234,0,0,3,,:3,cufftExecC2C_forward
550507377,550512868,5491,0,5491,cufftExecC2C_forward,41234,41234,0,0,4,,:4,cufftExecC2C_forward
550513283,550518522,5239,0,5239,cufftExecC2C_forward,41234,41234,0,0,5,,:5,cufftExecC2C_forward
550519143,550524080,4937,0,4937,cufftExecC2C_forward,41234,41234,0,0,6,,:6,cufftExecC2C_forward
550524330,550529069,4739,0,4739,cufftExecC2C_forward,41234,41234,0,0,7,,:7,cufftExecC2C_forward
550529324,550534360,5036,0,5036,cufftExecC2C_forward,41234,41234,0,0,8,,:8,cufftExecC2C_forward
550534607,550539027,4420,0,4420,cufftExecC2C_forward,41234,41234,0,0,9,,:9,cufftExecC2C_forward
550539247,550543835,4588,0,4588,cufftExecC2C_forward,41234,41234,0,0,10,,:10,cufftExecC2C_forward
550544092,550548167,4075,0,4075,cufftExecC2C_forward,41234,41234,0,0,11,,:11,cufftExecC2C_forward
550548422,550553644,5222,0,5222,cufftExecC2C_forward,41234,41234,0,0,12,,:12,cufftExecC2C_forward
550554070,550558608,4538,0,4538,cufftExecC2C_forward,41234,41234,0,0,13,,:13,cufftExecC2C_forward
550558856,550563105,4249,0,4249,cufftExecC2C_forward,41234,41234,0,0,14,,:14,cufftExecC2C_forward
550563362,550567687,4325,0,4325,cufftExecC2C_forward,41234,41234,0,0,15,,:15,cufftExecC2C_forward
550567932,550572462,4530,0,4530,cufftExecC2C_forward,41234,41234,0,0,16,,:16,cufftExecC2C_forward
550572625,550577311,4686,0,4686,cufftExecC2C_forward,41234,41234,0,0,17,,:17,cufftExecC2C_forward
550577485,550582021,4536,0,4536,cufftExecC2C_forward,41234,41234,0,0,18,,:18,cufftExecC2C_forward
550582197,550586312,4115,0,4115,cufftExecC2C_forward,41234,41234,0,0,19,,:19,cufftExecC2C_forward
550586486,550591418,4932,0,4932,cufftExecC2C_forward,41234,41234,0,0,20,,:20,cufftExecC2C_forward
550591595,550595668,4073,0,4073,cufftExecC2C_forward,41234,41234,0,0,21,,:21,cufftExecC2C_forward
550595848,550600005,4157,0,4157,cufftExecC2C_forward,41234,41234,0,0,22,,:22,cufftExecC2C_forward
550600161,550605068,4907,0,4907,cufftExecC2C_forward,41234,41234,0,0,23,,:23,cufftExecC2C_forward
550605237,550609349,4112,0,4112,cufftExecC2C_forward,41234,41234,0,0,24,,:24,cufftExecC2C_forward
550609522,550613495,3973,0,3973,cufftExecC2C_forward,41234,41234,0,0,25,,:25,cufftExecC2C_forward
550613665,550617790,4125,0,4125,cufftExecC2C_forward,41234,41234,0,0,26,,:26,cufftExecC2C_forward
550617965,550622468,4503,0,4503,cufftExecC2C_forward,41234,41234,0,0,27,,:27,cufftExecC2C_forward
550622623,550627371,4748,0,4748,cufftExecC2C_forward,41234,41234,0,0,28,,:28,cufftExecC2C_forward
550627633,550631861,4228,0,4228,cufftExecC2C_forward,41234,41234,0,0,29,,:29,cufftExecC2C_forward
550632022,550636422,4400,0,4400,cufftExecC2C_forward,41234,41234,0,0,30,,:30,cufftExecC2C_forward
550636579,550641048,4469,0,4469,cufftExecC2C_forward,41234,41234,0,0,31,,:31,cufftExecC2C_forward
550641218,550645708,4490,0,4490,cufftExecC2C_forward,41234,41234,0,0,32,,:32,cufftExecC2C_forward
